Name,Start,End,Length
5'utr,1,131,131
Exon1,1,191,191
Intron1,192,2028,1837
Exon2,2029,2359,331
Intron2,2360,3192,833
Exon3,3193,3326,134
Intron3,3327,3388,62
Exon4,3389,3600,212
3'utr,3545,3600,56
